taxon,min,max
Haptodus,303.700,307.000
Dimetrodon,283.500,290.100
Raranimus,266.000,273.010
Tetraceratops,273.010,283.500
Biarmosuchus,264.380,266.000
Hipposaurus,260.259,262.000
Herpetoskylax,255.240,256.600
NMQR_1702,255.240,256.600
Lende,255.240,256.600
Leucocephalus,256.800,258.500
Lemurosaurus,255.240,256.6
Australosyodon,264.380,266.000
Sinophoneus,266.900,273.010
Syodon,259.500,264.280
Titanophoneus,259.500,264.280
Anteosaurus,262.000,264.280
Styracocephalus,260.259,262.000
Tapinocaninus,264.380,266.000
Moschops,262.000,264.380
Biseridens,266.900,273.010
Patranomodon,264.380,266.000
Suminia,260.500,262.200
Eodicynodon,264.380,266.000
Nyaphulia,264.380,266.000
Diictodon,260.259,262.000
Niassodon,255.240,256.600
Cynariops,256.800,258.500
Aelurognathus,256.800,258.500
Gorgonops,258.500,260.259
Eriphostoma,260.259,262.000
Phorcys,260.259,264.380
Lycosuchus,260.259,262.000
Glanosuchus,264.380,266.000
Simorhinella,260.259,262.000
Procynosuchus,253.030,255.240
Galesaurus,251.200,251.700
Thrinaxodon,251.200,251.700
Charassognathus,256.800,258.500
Abdalodon,256.800,258.500
Nshimbodon,255.240,256.600
Ulemica_efremovi,264.280,266.900
Nochnitsa,260.500,262.200
